Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-June-2019,2850.00,2878.35,2802.00,2816.45,2818.756036343557050348,19921,1726,56152439.00,4424,22.21,76.35,-33.55
21-June-2019,2892.15,2910.65,2845.65,2873.15,2884.093125881443064464,21981,1267,63395251.00,4638,21.10,65.00,-19.00
20-June-2019,2830.00,2908.55,2805.50,2895.60,2868.353588549051380730,14811,983,42483185.00,3294,22.24,103.05,65.60
19-June-2019,2873.05,2880.95,2804.00,2821.75,2832.974103877103145574,13670,958,38726756.00,2113,15.46,76.95,-51.30
18-June-2019,2858.70,2880.75,2839.20,2856.80,2860.822549336784212229,12364,915,35371210.00,2536,20.51,41.55,-1.90
17-June-2019,2876.00,2877.00,2829.00,2838.55,2849.619132464979110346,16276,866,46380401.00,5682,34.91,48.00,-37.45
14-June-2019,2930.60,2930.60,2863.10,2870.30,2880.758443527330918891,23746,1418,68406490.00,7215,30.38,67.50,-60.30
13-June-2019,2941.35,2941.35,2901.00,2925.80,2922.375771494186881010,13934,1087,40720384.00,2889,20.73,40.35,-15.55
12-June-2019,2999.95,2999.95,2936.15,2949.25,2949.942231769623780771,17224,1209,50809805.00,4012,23.29,63.80,-50.70
11-June-2019,2992.45,3024.45,2982.00,2990.40,3003.357678729037952338,18128,1156,54444868.00,3574,19.72,42.45,-2.05
10-June-2019,2968.00,3000.00,2968.00,2984.90,2985.043026706231454005,8762,759,26154947.00,1507,17.20,32.00,16.90
7-June-2019,3000.00,3007.00,2955.55,2964.05,2976.957749381698268755,9704,727,28888398.00,2776,28.61,51.45,-35.95
6-June-2019,2999.00,3028.40,2961.55,2990.60,2988.325905872553102873,24010,1313,71749705.00,3535,14.72,66.85,-8.40
4-June-2019,3031.70,3031.70,2976.95,2989.55,2998.852134534167811530,19653,1194,58936441.00,3431,17.46,54.75,-42.15
3-June-2019,2955.65,3078.55,2910.00,3039.90,3023.341633676431776194,75780,4053,229108829.00,13506,17.82,168.55,84.25
31-May-2019,2949.60,2976.10,2916.90,2925.25,2947.547391875678455121,17503,1460,51590922.00,2504,14.31,59.20,-24.35
30-May-2019,2956.60,2976.65,2923.35,2945.35,2941.752665670154459392,30105,1890,88561464.00,2839,9.43,53.30,-11.25
29-May-2019,2992.70,2992.70,2920.65,2925.30,2944.701955285502843343,25674,1596,75602278.00,6918,26.95,72.05,-67.40
28-May-2019,3062.00,3103.95,2965.00,2992.70,3056.381249599897573778,31242,2228,95487463.00,6261,20.04,138.95,-69.30
27-May-2019,3093.95,3093.95,3035.00,3064.60,3062.190052475473420031,17532,1154,53686316.00,1961,11.19,58.95,-29.35
24-May-2019,3070.00,3096.00,3003.00,3077.30,3055.357270862010752408,38503,2216,117640421.00,11206,29.10,93.00,7.30
23-May-2019,3050.00,3084.35,3028.75,3067.75,3065.025839348387524005,75505,2922,231424776.00,44381,58.78,55.60,17.75
22-May-2019,2985.00,3054.90,2977.00,3049.70,3035.298191068400226116,31842,1388,96649965.00,15275,47.97,77.90,64.70
21-May-2019,3005.85,3044.00,2970.30,2980.75,2989.576850647459667242,51509,2608,153990114.00,22504,43.69,73.70,-25.10
20-May-2019,3071.00,3090.00,2953.95,3005.85,3003.681549168160700171,51873,2685,155809973.00,12030,23.19,136.05,-65.15
17-May-2019,2959.90,3145.55,2935.00,3041.80,3042.121007840585295585,158279,9768,481503871.00,21894,13.83,210.55,81.90
16-May-2019,2912.90,2959.95,2911.35,2944.65,2928.274917903889736829,21621,842,63312232.00,1899,8.78,48.60,31.75
15-May-2019,2941.65,2944.20,2905.00,2916.45,2920.304372515616127200,10566,682,30855936.00,2996,28.36,39.20,-25.20
14-May-2019,2969.90,2969.90,2903.00,2936.40,2924.415964603915388811,16499,837,48249939.00,4233,25.66,66.90,-33.50
13-May-2019,2942.00,2994.35,2942.00,2972.45,2967.924900631283610007,64155,1346,190407222.00,51534,80.33,52.35,30.45
10-May-2019,2978.00,3008.55,2959.95,2971.05,2971.363761430257287282,158461,2304,470845273.00,111598,70.43,48.60,-6.95
9-May-2019,2950.05,2997.10,2943.05,2987.70,2979.584369075205392879,37976,1323,113152696.00,18425,48.52,54.05,37.65
8-May-2019,3027.10,3027.10,2954.00,2963.20,3001.330725275333444020,144552,2261,433848359.00,117254,81.12,73.10,-63.90
7-May-2019,3031.00,3051.25,3025.00,3033.65,3037.081416505988105260,184115,966,559172245.00,170621,92.67,26.25,2.65
6-May-2019,3063.00,3063.00,3017.10,3030.00,3032.324467778226504355,155997,1423,473033520.00,140241,89.90,45.90,-33.00
3-May-2019,3032.45,3068.00,3032.45,3060.65,3053.343449865539761813,26030,786,79478530.00,5391,20.71,35.55,28.20
2-May-2019,3008.70,3039.00,2965.80,3032.45,3012.478248012091739501,30434,1185,91681763.00,3483,11.44,73.20,23.75
30-April-2019,3060.95,3060.95,2950.10,2993.25,2988.828272746375288926,19036,1247,56895335.00,4863,25.55,110.85,-67.70
26-April-2019,3080.00,3094.95,3037.15,3047.75,3064.490871491875923190,16925,1483,51866508.00,7239,42.77,57.80,-32.25
25-April-2019,3056.10,3100.00,3028.80,3078.05,3069.278125714285714285,21875,1205,67140459.00,8735,39.93,71.20,21.95
24-April-2019,3025.00,3080.00,3009.00,3076.25,3041.034170170976758240,39713,1904,120768590.00,25770,64.89,71.00,51.25
23-April-2019,3047.70,3066.85,3011.05,3035.70,3037.633740909454167665,37539,926,114029733.00,27027,72.00,55.80,-12.00
22-April-2019,3060.00,3069.00,3041.65,3050.45,3050.622331560987223236,37803,803,115322676.00,26747,70.75,27.35,-9.55
18-April-2019,3070.00,3085.00,3042.95,3063.00,3069.536322810725135385,15142,977,46478919.00,2940,19.42,42.05,-7.00
16-April-2019,3043.30,3078.00,3032.00,3069.40,3045.242555161240549297,32405,1088,98681085.00,24229,74.77,46.00,26.10
15-April-2019,3000.30,3044.00,2995.00,3034.10,3023.623660045337534099,26027,1085,78695853.00,6377,24.50,49.00,33.80
12-April-2019,2997.00,3020.00,2975.05,3006.45,3003.081038189822872939,19534,1055,58662185.00,3120,15.97,44.95,9.45
11-April-2019,2940.00,3002.50,2935.35,2986.90,2974.031925069748903945,25090,1749,74618461.00,5473,21.81,67.15,46.90
10-April-2019,2920.00,2945.10,2910.85,2935.10,2932.670873676675583016,26543,1464,77841883.00,6038,22.75,34.25,15.10
9-April-2019,2858.00,2930.00,2841.00,2918.50,2899.970995045417010734,19376,1631,56189838.00,5392,27.83,89.00,60.50
8-April-2019,2863.00,2871.95,2845.00,2852.50,2854.027187571395933287,8754,603,24984154.00,2509,28.66,26.95,-10.50
5-April-2019,2857.00,2879.90,2851.00,2860.80,2864.836772983114446529,7462,656,21377412.00,2483,33.28,28.90,3.80
4-April-2019,2860.25,2882.40,2854.50,2866.65,2868.998749622730996421,23193,998,66540688.00,8274,35.67,27.90,6.40
3-April-2019,2860.00,2879.90,2836.00,2848.90,2852.565263467765675596,220805,2119,629860673.00,191845,86.88,43.90,-11.10
2-April-2019,2912.00,2936.00,2846.95,2855.10,2875.478926026836537600,78177,3643,224796316.00,30367,38.84,89.05,-56.90
1-April-2019,2955.70,2955.70,2903.00,2917.50,2918.568229523470254569,182465,2101,532536552.00,152997,83.85,52.70,-38.20
29-March-2019,2950.00,2951.00,2895.15,2915.05,2908.988153241164395419,80866,2327,235238236.00,53686,66.39,55.85,-34.95
28-March-2019,2985.00,3020.00,2911.00,2941.15,2954.743648432135500114,39321,4522,116183475.00,9495,24.15,109.00,-43.85
27-March-2019,2956.00,2992.85,2950.00,2986.70,2980.075816776124366115,12029,791,35847332.00,3302,27.45,42.85,30.70
26-March-2019,2960.00,2964.65,2933.00,2951.30,2953.905674204355108877,9552,651,28215707.00,1650,17.27,31.65,-8.70
25-March-2019,2932.00,2968.95,2918.65,2958.10,2945.046610369391895079,21197,901,62426153.00,11252,53.08,50.30,26.10
22-March-2019,2950.10,2995.00,2932.00,2949.40,2948.746488233002589426,87278,1203,257360696.00,72059,82.56,63.00,-0.70
20-March-2019,2974.00,2974.00,2924.45,2948.10,2943.531526095763478860,23203,1360,68298762.00,7076,30.50,49.55,-25.90
19-March-2019,3004.00,3004.00,2946.00,2980.25,2973.003388426640563231,26561,2035,78965943.00,8170,30.76,58.00,-23.75
18-March-2019,3030.00,3045.25,2986.30,3004.20,3011.911483906164757228,14664,1063,44166670.00,3397,23.17,58.95,-25.80
15-March-2019,3004.65,3030.00,2984.75,3022.30,3016.773680864589955499,23595,1086,71180775.00,9985,42.32,45.25,17.65
14-March-2019,3022.00,3022.00,2970.05,3010.50,3002.987230251435359334,30306,1953,91008531.00,2611,8.62,51.95,-11.50
13-March-2019,3009.60,3044.55,2995.00,3008.40,3023.130989068879230870,37965,2312,114773168.00,10761,28.34,49.55,-1.20
12-March-2019,3025.00,3025.00,2982.95,2991.35,3000.257302626738282687,27182,1559,81552994.00,7376,27.14,42.05,-33.65
11-March-2019,2961.50,3012.05,2940.65,3004.40,2995.629680300987867935,49703,2584,148891782.00,21785,43.83,71.40,42.90
8-March-2019,2910.00,2966.00,2903.00,2955.90,2946.729421587539227823,34733,2003,102348753.00,7771,22.37,63.00,45.90
7-March-2019,2923.90,2925.00,2900.00,2909.95,2908.887391109327415661,42359,989,123217561.00,28983,68.42,25.00,-13.95
6-March-2019,2910.00,2936.00,2877.10,2927.35,2903.768279285510843471,24577,1196,71365913.00,3027,12.32,58.90,17.35
5-March-2019,2833.00,2923.80,2820.00,2906.60,2887.150880394881473339,48217,2254,139209754.00,12849,26.65,103.80,73.60
1-March-2019,2909.95,2944.95,2844.00,2862.90,2887.714775131830853457,89319,3882,257927796.00,25432,28.47,100.95,-47.05
28-February-2019,2905.00,2924.00,2865.65,2896.45,2890.508434289219444870,26084,1588,75396022.00,4184,16.04,58.35,-8.55
27-February-2019,2868.65,2937.75,2868.65,2912.25,2910.364576054743030624,41503,2791,120788861.00,6361,15.33,69.10,43.60
26-February-2019,2824.50,2865.70,2813.20,2852.50,2844.426844783715012722,15720,873,44714390.00,2707,17.22,52.50,28.00
25-February-2019,2817.35,2850.00,2817.35,2847.00,2838.401611047180667433,12166,739,34531994.00,3169,26.05,32.65,29.65
22-February-2019,2810.00,2847.45,2803.00,2816.70,2827.393901420217209690,14364,908,40612686.00,2587,18.01,44.45,6.70
21-February-2019,2743.65,2820.00,2743.65,2809.65,2783.972250062640942119,15964,1118,44443333.00,2063,12.92,76.35,66.00
20-February-2019,2786.25,2797.00,2740.85,2778.20,2766.203050307307079444,13179,841,36455790.00,1495,11.34,56.15,-8.05
19-February-2019,2795.00,2828.05,2771.55,2782.65,2797.284364336337387347,11429,760,31970163.00,1055,9.23,56.50,-12.35
18-February-2019,2830.00,2830.05,2768.50,2794.15,2786.073885703717403366,10814,678,30128603.00,1786,16.52,61.55,-35.85
15-February-2019,2828.05,2846.80,2808.00,2818.90,2820.406578542883492161,16265,1009,45873913.00,2849,17.52,38.80,-9.15
