Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
936538,975MFL24A   ,990.00,990.00,975.00,990.00,400.00,12,393250.00,INE414G07DD7,1000.00,9.75                     ,
936730,975MFL24AA  ,985.00,985.00,985.00,985.00,10.00,1,9850.00,INE414G07DJ4,1000.00,9.75                     ,
936642,975MHIL24   ,955.00,968.39,955.00,968.14,324.00,12,311740.00,INE652X07035,1000.00,9.75                     ,
935449,975SEFL20G  ,801.00,815.00,800.00,815.00,146.00,8,116965.00,INE881J07DV3,1000.00,9.75                     ,
936386,981JMFCSL28 ,870.00,931.00,870.00,931.00,10.00,2,9005.00,INE651J07697,1000.00,9.81                     ,
936422,981SEFL22   ,930.00,930.00,930.00,930.00,13.00,3,12090.00,INE881J07FO3,1000.00,9.81                     ,
936254,985EFL28    ,855.00,855.00,850.00,850.00,240.00,6,204266.00,INE804I079Y6,1000.00,9.85                     ,
936696,990JMFPL21  ,981.00,981.00,981.00,981.00,100.00,4,98100.00,INE523H07AG2,1000.00,9.90                     ,
936392,995EFL24    ,925.00,930.00,925.00,930.00,193.00,3,178540.00,INE804I077Z7,1000.00,9.95                     ,
936716,995EFL24A   ,900.00,940.00,900.00,922.54,1705.00,27,1577674.00,INE804IA7105,1000.00,9.95                     ,
936722,995EFL29    ,950.00,950.00,822.00,915.00,1316.00,35,1156363.00,INE804IA7139,1000.00,9.95                     ,
936214,9DHFL23     ,243.15,243.15,243.13,243.13,130.00,2,31608.00,INE202B07JA0,1000.00,9.00                     ,
936128,9ERFL23     ,800.00,800.00,800.00,800.00,83.00,1,66400.00,INE528S07102,1000.00,9                        ,
935860,9IBHFL26B   ,571.00,571.00,571.00,571.00,40.00,1,22840.00,INE148I07GL3,1000.00,9                        ,
935954,9MFL20A     ,1040.00,1040.00,1026.00,1036.77,98.00,3,101878.00,INE414G07BS9,1000.00,9                        ,
935956,9MFL22A     ,985.90,985.90,985.90,985.90,239.00,4,235630.00,INE414G07BT7,1000.00,9                        ,
936144,9MFL23      ,985.00,985.00,985.00,985.00,70.00,1,68950.00,INE414G07CN8,1000.00,9.00                     ,
935752,9MMFSL26    ,1025.25,1038.00,1025.25,1035.99,1807.00,25,1870905.00,INE774D08MA6,1000.00,9                        ,
936112,9SIFL23     ,595.00,701.00,595.00,701.00,84.00,4,55860.00,INE872A07UR3,1000.00,9.00                     ,
936312,AHFL29SEP18 ,960.09,1010.00,960.09,1000.00,275.00,4,275563.00,INE538L07486,1000.00,,
961695,IDFCFBLD1B  ,9555.00,9555.00,9550.01,9552.01,81.00,3,773764.00,INE092T08CD4,5000.00,,
961710,IDFCFBLD1H  ,9350.00,9400.00,9350.00,9370.00,8.00,4,74940.00,INE092T08CJ1,5000.00,8.25                     ,
961719,IDFCFBLD1I  ,5111.00,5111.00,5111.00,5111.00,2.00,1,10222.00,INE092T08CK9,5000.00,9                        ,
972657,IFCI010811D ,10125.00,10125.00,10125.00,10125.00,10.00,1,101250.00,INE039A09NL3,10000.00,10.75                    ,
972704,IFCI121211A ,8500.00,8500.00,8500.00,8500.00,4.00,1,34000.00,INE039A09NX8,5000.00,8.50                     ,
972705,IFCI121211B ,4700.00,4700.00,4700.00,4700.00,1.00,1,4700.00,INE039A09NY6,5000.00,8.50                     ,
947841,IFCI121211D ,4802.00,4802.00,4802.00,4802.00,4.00,1,19208.00,INE039A09OA4,5000.00,8.75                     ,
972713,IFCI150212A ,8792.01,8793.00,8792.01,8793.00,12.00,4,105510.00,INE039A09OE6,5000.00,9.09                     ,
972609,IFCI150910B ,9351.00,9351.00,9120.01,9296.70,16.00,10,148163.00,INE039A08122,5000.00,7.85                     ,
972611,IFCI150910D ,9225.20,9225.20,9225.20,9225.20,4.00,2,36900.00,INE039A08148,5000.00,7.95                     ,
972661,IFCI310111B ,9435.00,9550.00,9435.00,9447.00,31.00,11,293198.00,INE039A09MU6,5000.00,8                        ,
972662,IFCI310111C ,4979.00,4979.00,4979.00,4979.00,11.00,1,54769.00,INE039A09MV4,5000.00,8.25                     ,
972719,IFCI310312A ,7481.00,7600.00,7481.00,7495.05,8.00,4,60109.00,INE039A09OU2,5000.00,8.50                     ,
972722,IFCI310312D ,4600.00,4600.00,4600.00,4600.00,4.00,1,18400.00,INE039A09OX6,5000.00,8.72                     ,
935018,IFLHFL2020  ,1950.00,1950.00,1900.00,1900.00,10.00,2,19250.00,INE477L08022,1000.00,,
961706,IIFCLBDIS2  ,1860.00,1860.00,1860.00,1860.00,30.00,2,55800.00,INE787H07024,1000.00,,
935016,IIFLHFL202  ,996.10,996.10,995.45,995.45,90.00,2,89619.00,INE477L08014,1000.00,12                       ,
961721,LTINF90122I ,1051.01,1068.80,1051.01,1060.00,55.00,5,58066.00,INE691I07265,1000.00,9                        ,
