Security Code,Issuer Name,Coupon (%),Maturity Date,LTP,Weighted Average Price,Weighted Average Yield,Turnover (Rs. Lakh),ISIN No.,Face Value
780HDFCNOV19,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,7.8000,11/11/2019,100.1300,100.1300,6.2200,500.00,INE001A07PU3,10000000.00
933PGC22,POWER GRID CORPORATION OF INDIA LTD,9.3300,15/12/2022,106.7000,106.7000,6.9000,500.00,INE752E07FE8,1250000.00
920PGC22,POWER GRIG CORPORATION OF INDIA,9.2000,12/03/2022,104.9200,104.9200,6.9000,500.00,INE752E07F74,1250000.00
880LICHFL20,LIC HOUSING FINANCE LIMITED,8.8000,24/12/2020,101.9200,101.9200,7.0500,500.00,INE115A07NQ4,1000000.00
905HDFC20NOV23,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,9.0500,20/11/2023,104.7500,104.7500,7.6500,500.00,INE001A07RJ2,1000000.00
918VL21,VEDANTA LIMITED,9.1800,02/07/2021,99.3800,99.3800,9.5200,470.00,INE205A07154,1000000.00
875ABLPER,AXIS BANK LIMITED,8.7500,14/12/2098,99.5300,99.5300,8.9500,460.00,INE238A08427,1000000.00
0HDBF22,HDB FINANCIAL SERVICES LIMITED,0.0000,05/04/2022,111.6500,111.6500,7.6000,440.00,INE756I07CI8,1000000.00
1125SYDICATEPER,SYNDICATE BANK,11.2500,15/07/2099,103.3700,102.1700,9.8000,370.00,INE667A08070,1000000.00
858AHFL20,AADHAR HOUSING FINANCE LIMITED,8.5800,23/06/2020,99.5100,99.5100,9.4000,300.00,INE538L07445,1000000.00
1025STFCL24A,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,10.2500,27/12/2024,97.7500,97.7500,11.3500,200.00,INE721A08DE4,1000000.00
866NTPC33,NTPC LIMITED,8.6600,16/12/2033,129.8500,129.8500,5.5600,200.00,INE733E07JG5,1000.00
1015UPCL25,U.P. POWER CORPORATION LIMITED,10.1500,20/01/2025,97.1500,97.0400,11.3800,140.00,INE540P07327,1000000.00
1075STJ20,SECURE TRUST JULY 2019,10.7500,18/03/2020,95.5700,95.5500,0.0000,128.00,INE09R815016,100000.00
897UPPOWER26,U.P. POWER CORPORATION LIMITED,8.9700,13/02/2026,103.3700,100.0300,9.2600,120.00,INE540P07095,1000000.00
1195TKVBL29,THE KARUR VYSYA BANK LIMITED,11.9500,12/06/2029,105.2500,105.2800,10.4200,103.00,INE036D08015,100000.00
910PFC29,POWER FINANCE CORPORATION LTD.,9.1000,23/03/2029,104.3900,104.3900,8.3900,100.00,INE134E08JX9,1000000.00
867PFC33,POWER FINANCE CORPORATION LIMITED,8.6700,16/11/2033,128.5600,128.5600,5.6700,100.00,INE134E07455,1000.00
841NTPC23,NTPC LTD,8.4100,16/12/2023,110.2300,110.2300,5.6000,100.00,INE733E07JE0,1000.00
728NHAI2030,NATIONAL HIGHWAY AUTHORITY OF INDIA,7.2800,18/09/2030,113.0000,113.0000,5.6500,100.00,INE906B07EF6,1000000.00
812RECL27327,RURAL ELECTRIFICATION CORPORATION LTD,8.1200,27/03/2027,114.5800,114.5800,5.6700,100.00,INE020B07GH7,1000.00
921PUNNBPERP,PUNJAB NATIONAL BANK,9.2100,29/03/2099,100.2200,98.7600,9.7400,80.00,INE160A08118,1000000.00
