,Tycho Brahe's Mars Observations,,,,,,,,,,,,,,,,,,,
,Source: Tychonis Brahe Dani Opera Omnia,,,,,,,,,,,,,,,,,,,
,"Imput by: Wayne Pafko (March 24, 2000)",,,,,,,Brahe's Declination Data Converted to Numbers,,,,,,,1582.88706365503,,,,,
,"[MS] = Mars Symbol (you know…the ""male"" sign)",,,,,,,(not adjusted to current dates),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Year,Day,Time,Quote,Volume,Page,,Year,Month,Day,Day (adj),Hour,Min,Days since 1 AD,Date,,Dec (deg),Dec (min),Dec (sec),Declination
,1585,DIE 26 MARTIJ.,H. 8 1/3 P.M.,Declinatio [MS] B.  19  44  0,10,398,,1585,3,26,36,8,20,579015.847222222,1585.25899307932,1,19,44,0,19.7333333333333
,1585,DIE 15 APRILIS.,H. 9 48',Decl. [MS] Bor.  17o  38 2/3'.,10,398,,1585,4,15,25,9,48,579035.908333333,1585.31391740817,1,17,38,40,17.6444444444444
,1585,Die 15 Aprils,H. 9 50,Declin. [MS] B.  17  38 3/4,10,399,,1585,4,15,25,9,50,579035.909722222,1585.31392121074,1,17,38,45,17.6458333333333
,1585,DIE 26 APRILIS.,H. 9 50,Decl. [MS] B.  16  8 1/2 per Armillas Boreales.,10,399,,1585,4,26,36,9,50,579046.909722222,1585.3440375694,1,16,8,30,16.1416666666667
,1585,DIE 7 MAIJ.,H. 11  24 1/2,Declinatio [MS]  14  22 1/2 per Armillas Auftrales,10,401,,1585,5,7,17,11,24.5,579057.975347222,1585.37433359951,1,14,22,30,14.375
,1585,DIE 7 MAIJ.,H. 9 1/3,Decl. [MS]  14  22,10,401,,1585,5,7,17,9,20,579057.888888889,1585.3740968895,1,14,22,,14.3666666666667
,1585,DIE 7 MAIJ.,H. 11 1/4,Decl [MS]  14  22 1/2 B.,10,401,,1585,5,7,17,11,15,579057.96875,1585.3743155373,1,14,22,30,14.375
,1585,DIE 12 MAIJ.,,declinatio [MS] B.  13o  30 1/4' per Auftrales Armillas.,10,401,,1585,5,12,22,,,579062.5,1585.38672142368,1,13,30,15,13.5041666666667
,1585,DIE 17 MAIJ.,H.11 30,Decl. [MS] B.  12  38 1/2 per Arm. auft.,10,401,,1585,5,17,27,11,30,579067.979166667,1585.40172256445,1,12,38,30,12.6416666666667
,1585,DIE 18 MAIJ.,H.10 40,Decl. [MS]  12  27 B. per Arm. auft.,10,402,,1585,5,18,28,10,40,579068.944444445,1585.40436535098,1,12,27,,12.45
,1586,DIE 23 SEPTEMBRIS.,H.5 M.12 P.M.N.,Declin. [MS] B. 18  5 1/2,11,63,,1586,9,23,33,5,12,579561.716666667,1586.75350216747,1,18,5,30,18.0916666666667
,1586,DIE 24 SEPTEMBRIS A.M.,H.3 M.55,Declin. [MS] Bor.  17 56 1/2,11,64,,1586,9,24,34,3,55,579562.663194445,1586.75609361929,1,17,56,30,17.9416666666667
,1586,DIE 10 OCTOBRIS.,H.2 M.32,Declin. [MS] per Armillas  15 3 3/4 B.,11,64,,1586,10,10,20,2,32,579578.605555556,1586.7997414252,1,15,3,45,15.0625
